m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","c#","506"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","javascript","164"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","159"
"2008-08-01 00:00:00","python","120"
"2008-08-01 00:00:00","ruby","70"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","318"
"2008-09-01 00:00:00","c#","1647"
"2008-09-01 00:00:00","c++","753"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1133"
"2008-09-01 00:00:00","javascript","636"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","php","477"
"2008-09-01 00:00:00","python","537"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","287"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1989"
"2008-10-01 00:00:00","c++","809"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1149"
"2008-10-01 00:00:00","javascript","724"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","php","612"
"2008-10-01 00:00:00","python","508"
"2008-10-01 00:00:00","ruby","247"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","c#","1732"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","java","957"
"2008-11-01 00:00:00","javascript","582"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","501"
"2008-11-01 00:00:00","python","451"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","159"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","189"
"2008-12-01 00:00:00","c#","1596"
"2008-12-01 00:00:00","c++","631"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","java","827"
"2008-12-01 00:00:00","javascript","626"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","477"
"2008-12-01 00:00:00","python","439"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","319"
"2009-01-01 00:00:00","c#","2376"
"2009-01-01 00:00:00","c++","851"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1148"
"2009-01-01 00:00:00","javascript","792"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","php","634"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","207"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","331"
"2009-02-01 00:00:00","c#","2598"
"2009-02-01 00:00:00","c++","842"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1203"
"2009-02-01 00:00:00","javascript","947"
"2009-02-01 00:00:00","perl","164"
"2009-02-01 00:00:00","php","764"
"2009-02-01 00:00:00","python","629"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","430"
"2009-03-01 00:00:00","c#","3160"
"2009-03-01 00:00:00","c++","1050"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1434"
"2009-03-01 00:00:00","javascript","1007"
"2009-03-01 00:00:00","perl","138"
"2009-03-01 00:00:00","php","900"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","457"
"2009-04-01 00:00:00","c#","3309"
"2009-04-01 00:00:00","c++","1019"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1530"
"2009-04-01 00:00:00","javascript","1048"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","962"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","358"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","481"
"2009-05-01 00:00:00","c#","3551"
"2009-05-01 00:00:00","c++","1215"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1816"
"2009-05-01 00:00:00","javascript","1432"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1175"
"2009-05-01 00:00:00","python","997"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","401"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","c","500"
"2009-06-01 00:00:00","c#","3879"
"2009-06-01 00:00:00","c++","1250"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2113"
"2009-06-01 00:00:00","javascript","1553"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1577"
"2009-06-01 00:00:00","python","1042"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","539"
"2009-07-01 00:00:00","c#","4405"
"2009-07-01 00:00:00","c++","1465"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2255"
"2009-07-01 00:00:00","javascript","1752"
"2009-07-01 00:00:00","perl","258"
"2009-07-01 00:00:00","php","2023"
"2009-07-01 00:00:00","python","1161"
"2009-07-01 00:00:00","r","51"
"2009-07-01 00:00:00","ruby","500"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","529"
"2009-08-01 00:00:00","c#","4454"
"2009-08-01 00:00:00","c++","1400"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2187"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","249"
"2009-08-01 00:00:00","php","2181"
"2009-08-01 00:00:00","python","1134"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4348"
"2009-09-01 00:00:00","c++","1460"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2261"
"2009-09-01 00:00:00","javascript","1757"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","php","2262"
"2009-09-01 00:00:00","python","1164"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","c#","4721"
"2009-10-01 00:00:00","c++","1686"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2502"
"2009-10-01 00:00:00","javascript","2045"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2356"
"2009-10-01 00:00:00","python","1420"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","959"
"2009-11-01 00:00:00","c#","4680"
"2009-11-01 00:00:00","c++","1749"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2759"
"2009-11-01 00:00:00","javascript","2231"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2684"
"2009-11-01 00:00:00","python","1553"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","850"
"2009-12-01 00:00:00","c#","4486"
"2009-12-01 00:00:00","c++","1653"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2686"
"2009-12-01 00:00:00","javascript","2306"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2824"
"2009-12-01 00:00:00","python","1589"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c","980"
"2010-01-01 00:00:00","c#","5112"
"2010-01-01 00:00:00","c++","1998"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3724"
"2010-01-01 00:00:00","javascript","2623"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","php","3431"
"2010-01-01 00:00:00","python","1946"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","684"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5092"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","javascript","2641"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3164"
"2010-02-01 00:00:00","python","1861"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1114"
"2010-03-01 00:00:00","c#","6034"
"2010-03-01 00:00:00","c++","2435"
"2010-03-01 00:00:00","delphi","317"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4441"
"2010-03-01 00:00:00","javascript","2989"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","php","3744"
"2010-03-01 00:00:00","python","2073"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","695"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1181"
"2010-04-01 00:00:00","c#","5776"
"2010-04-01 00:00:00","c++","2489"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3883"
"2010-04-01 00:00:00","javascript","3009"
"2010-04-01 00:00:00","perl","364"
"2010-04-01 00:00:00","php","3637"
"2010-04-01 00:00:00","python","1811"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1182"
"2010-05-01 00:00:00","c#","5929"
"2010-05-01 00:00:00","c++","2420"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4170"
"2010-05-01 00:00:00","javascript","3232"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3984"
"2010-05-01 00:00:00","python","2007"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","91"
"2010-06-01 00:00:00","c","1155"
"2010-06-01 00:00:00","c#","6145"
"2010-06-01 00:00:00","c++","2825"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4281"
"2010-06-01 00:00:00","javascript","3471"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4089"
"2010-06-01 00:00:00","python","2208"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","853"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1286"
"2010-07-01 00:00:00","c#","6679"
"2010-07-01 00:00:00","c++","2683"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4513"
"2010-07-01 00:00:00","javascript","3876"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4593"
"2010-07-01 00:00:00","python","2592"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","ruby","911"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6959"
"2010-08-01 00:00:00","c++","2634"
"2010-08-01 00:00:00","delphi","354"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4702"
"2010-08-01 00:00:00","javascript","4003"
"2010-08-01 00:00:00","perl","547"
"2010-08-01 00:00:00","php","5131"
"2010-08-01 00:00:00","python","2491"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1374"
"2010-09-01 00:00:00","c#","6408"
"2010-09-01 00:00:00","c++","2732"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4714"
"2010-09-01 00:00:00","javascript","3997"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4690"
"2010-09-01 00:00:00","python","2248"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1440"
"2010-10-01 00:00:00","c#","6732"
"2010-10-01 00:00:00","c++","2932"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5027"
"2010-10-01 00:00:00","javascript","4109"
"2010-10-01 00:00:00","perl","499"
"2010-10-01 00:00:00","php","4508"
"2010-10-01 00:00:00","python","2672"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","165"
"2010-11-01 00:00:00","c","1675"
"2010-11-01 00:00:00","c#","7317"
"2010-11-01 00:00:00","c++","3374"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5591"
"2010-11-01 00:00:00","javascript","4546"
"2010-11-01 00:00:00","perl","465"
"2010-11-01 00:00:00","php","5110"
"2010-11-01 00:00:00","python","2606"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","ruby","929"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1467"
"2010-12-01 00:00:00","c#","7099"
"2010-12-01 00:00:00","c++","3132"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
